"citizen","geo","time","values"
"BF","IS",2015-12-31,0
"BF","IT",2015-12-31,410
"BF","LI",2015-12-31,0
"BF","LT",2015-12-31,0
"BF","LU",2015-12-31,0
"BF","LV",2015-12-31,0
"BF","MT",2015-12-31,0
"BF","NL",2015-12-31,5
"BF","NO",2015-12-31,5
"BF","PL",2015-12-31,0
"BF","PT",2015-12-31,0
"BF","RO",2015-12-31,0
"BF","SE",2015-12-31,5
"BF","SI",2015-12-31,0
"BF","SK",2015-12-31,0
"BF","TOTAL",2015-12-31,930
"BF","UK",2015-12-31,0
"BG","AT",2015-12-31,0
"BG","BE",2015-12-31,15
"BG","BG",2015-12-31,0
"BG","CH",2015-12-31,5
"BG","CY",2015-12-31,0
"BG","CZ",2015-12-31,0
"BG","DE",2015-12-31,15
"BG","DK",2015-12-31,5
"BG","EE",2015-12-31,0
"BG","EL",2015-12-31,0
"BG","ES",2015-12-31,5
"BG","EU28",2015-12-31,55
"BG","FI",2015-12-31,0
"BG","HR",2015-12-31,5
"BG","HU",2015-12-31,0
"BG","IE",2015-12-31,0
"BG","IS",2015-12-31,0
"BG","IT",2015-12-31,0
"BG","LI",2015-12-31,0
"BG","LT",2015-12-31,0
"BG","LU",2015-12-31,0
"BG","LV",2015-12-31,0
"BG","MT",2015-12-31,0
"BG","NL",2015-12-31,0
"BG","NO",2015-12-31,0
"BG","PL",2015-12-31,0
"BG","PT",2015-12-31,0
"BG","RO",2015-12-31,0
"BG","SE",2015-12-31,5
"BG","SI",2015-12-31,0
"BG","SK",2015-12-31,0
"BG","TOTAL",2015-12-31,60
"BG","UK",2015-12-31,5
"BH","AT",2015-12-31,0
"BH","BE",2015-12-31,0
"BH","BG",2015-12-31,5
"BH","CH",2015-12-31,0
"BH","CY",2015-12-31,0
"BH","CZ",2015-12-31,0
"BH","DE",2015-12-31,15
"BH","DK",2015-12-31,0
"BH","EE",2015-12-31,0
"BH","EL",2015-12-31,0
"BH","ES",2015-12-31,0
"BH","EU28",2015-12-31,45
"BH","FI",2015-12-31,0
"BH","FR",2015-12-31,5
"BH","HR",2015-12-31,0
"BH","HU",2015-12-31,0
"BH","IE",2015-12-31,0
"BH","IS",2015-12-31,0
"BH","IT",2015-12-31,0
"BH","LI",2015-12-31,0
"BH","LT",2015-12-31,0
"BH","LU",2015-12-31,0
"BH","LV",2015-12-31,0
"BH","MT",2015-12-31,0
"BH","NL",2015-12-31,0
"BH","NO",2015-12-31,0
"BH","PL",2015-12-31,0
"BH","PT",2015-12-31,0
"BH","RO",2015-12-31,0
"BH","SE",2015-12-31,0
"BH","SI",2015-12-31,0
"BH","SK",2015-12-31,0
"BH","TOTAL",2015-12-31,45
"BH","UK",2015-12-31,20
"BI","AT",2015-12-31,0
"BI","BE",2015-12-31,315
"BI","BG",2015-12-31,0
"BI","CH",2015-12-31,15
"BI","CY",2015-12-31,0
"BI","CZ",2015-12-31,0
"BI","DE",2015-12-31,5
"BI","DK",2015-12-31,5
"BI","EE",2015-12-31,0
"BI","EL",2015-12-31,5
"BI","ES",2015-12-31,0
"BI","EU28",2015-12-31,570
"BI","FI",2015-12-31,5
"BI","FR",2015-12-31,80
"BI","HR",2015-12-31,0
"BI","HU",2015-12-31,10
"BI","IE",2015-12-31,5
"BI","IS",2015-12-31,0
"BI","IT",2015-12-31,5
"BI","LI",2015-12-31,0
"BI","LT",2015-12-31,0
"BI","LU",2015-12-31,0
"BI","LV",2015-12-31,0
"BI","MT",2015-12-31,0
"BI","NL",2015-12-31,40
"BI","NO",2015-12-31,15
"BI","PL",2015-12-31,0
"BI","PT",2015-12-31,0
"BI","RO",2015-12-31,0
"BI","SE",2015-12-31,75
"BI","SI",2015-12-31,0
"BI","SK",2015-12-31,0
"BI","TOTAL",2015-12-31,600
"BI","UK",2015-12-31,20
"BJ","AT",2015-12-31,25
"BJ","BE",2015-12-31,40
"BJ","BG",2015-12-31,0
"BJ","CH",2015-12-31,25
"BJ","CY",2015-12-31,0
"BJ","CZ",2015-12-31,0
"BJ","DE",2015-12-31,370
"BJ","DK",2015-12-31,5
"BJ","EE",2015-12-31,0
"BJ","EL",2015-12-31,5
"BJ","ES",2015-12-31,5
"BJ","EU28",2015-12-31,665
"BJ","FI",2015-12-31,0
"BJ","FR",2015-12-31,35
"BJ","HR",2015-12-31,0
"BJ","HU",2015-12-31,5
"BJ","IE",2015-12-31,0
"BJ","IS",2015-12-31,0
"BJ","IT",2015-12-31,165
"BJ","LI",2015-12-31,0
"BJ","LT",2015-12-31,0
"BJ","LU",2015-12-31,0
"BJ","LV",2015-12-31,0
"BJ","MT",2015-12-31,0
"BJ","NL",2015-12-31,5
"BJ","NO",2015-12-31,0
"BJ","PL",2015-12-31,0
"BJ","PT",2015-12-31,0
"BJ","RO",2015-12-31,0
"BJ","SE",2015-12-31,5
"BJ","SI",2015-12-31,0
"BJ","SK",2015-12-31,0
"BJ","TOTAL",2015-12-31,695
"BJ","UK",2015-12-31,0
"BN","AT",2015-12-31,0
"BN","BE",2015-12-31,0
"BN","BG",2015-12-31,0
"BN","CH",2015-12-31,0
"BN","CY",2015-12-31,0
"BN","CZ",2015-12-31,0
"BN","DE",2015-12-31,0
"BN","DK",2015-12-31,0
"BN","EE",2015-12-31,0
"BN","EL",2015-12-31,0
"BN","ES",2015-12-31,0
"BN","EU28",2015-12-31,0
"BN","FI",2015-12-31,0
"BN","FR",2015-12-31,0
"BN","HR",2015-12-31,0
"BN","HU",2015-12-31,0
"BN","IE",2015-12-31,0
"BN","IS",2015-12-31,0
"BN","IT",2015-12-31,0
"BN","LI",2015-12-31,0
"BN","LT",2015-12-31,0
"BN","LU",2015-12-31,0
"BN","LV",2015-12-31,0
"BN","MT",2015-12-31,0
"BN","NL",2015-12-31,0
"BN","NO",2015-12-31,0
"BN","PL",2015-12-31,0
"BN","PT",2015-12-31,0
"BN","RO",2015-12-31,0
"BN","SE",2015-12-31,0
"BN","SI",2015-12-31,0
"BN","SK",2015-12-31,0
"BN","TOTAL",2015-12-31,0
"BN","UK",2015-12-31,0
"BO","AT",2015-12-31,0
"BO","BE",2015-12-31,0
"BO","BG",2015-12-31,0
"BO","CH",2015-12-31,0
"BO","CY",2015-12-31,0
"BO","CZ",2015-12-31,0
"BO","DE",2015-12-31,0
"BO","DK",2015-12-31,0
"BO","EE",2015-12-31,0
"BO","EL",2015-12-31,0
"BO","ES",2015-12-31,10
"BO","EU28",2015-12-31,70
"BO","FI",2015-12-31,0
"BO","FR",2015-12-31,5
"BO","HR",2015-12-31,0
"BO","HU",2015-12-31,0
"BO","IE",2015-12-31,0
"BO","IS",2015-12-31,0
"BO","IT",2015-12-31,0
"BO","LI",2015-12-31,0
"BO","LT",2015-12-31,0
"BO","LU",2015-12-31,0
"BO","LV",2015-12-31,0
"BO","MT",2015-12-31,0
"BO","NL",2015-12-31,5
"BO","NO",2015-12-31,0
"BO","PL",2015-12-31,0
"BO","PT",2015-12-31,0
"BO","RO",2015-12-31,0
"BO","SE",2015-12-31,30
"BO","SI",2015-12-31,0
"BO","SK",2015-12-31,0
"BO","TOTAL",2015-12-31,70
"BO","UK",2015-12-31,20
"BR","AT",2015-12-31,0
"BR","BE",2015-12-31,5
"BR","BG",2015-12-31,0
"BR","CH",2015-12-31,0
"BR","CY",2015-12-31,0
"BR","CZ",2015-12-31,0
"BR","DE",2015-12-31,5
"BR","DK",2015-12-31,0
"BR","EE",2015-12-31,0
"BR","EL",2015-12-31,0
"BR","ES",2015-12-31,5
"BR","EU28",2015-12-31,115
"BR","FI",2015-12-31,0
"BR","FR",2015-12-31,10
"BR","HR",2015-12-31,0
"BR","HU",2015-12-31,0
"BR","IE",2015-12-31,5
"BR","IS",2015-12-31,0
"BR","IT",2015-12-31,30
"BR","LI",2015-12-31,0
"BR","LT",2015-12-31,0
"BR","LU",2015-12-31,0
"BR","LV",2015-12-31,0
"BR","MT",2015-12-31,0
"BR","NL",2015-12-31,5
"BR","NO",2015-12-31,0
"BR","PL",2015-12-31,0
"BR","PT",2015-12-31,5
"BR","RO",2015-12-31,5
"BR","SE",2015-12-31,10
"BR","SI",2015-12-31,0
"BR","SK",2015-12-31,0
"BR","TOTAL",2015-12-31,115
"BR","UK",2015-12-31,25
"BS","AT",2015-12-31,0
"BS","BE",2015-12-31,0
"BS","BG",2015-12-31,0
"BS","CH",2015-12-31,0
"BS","CY",2015-12-31,0
"BS","CZ",2015-12-31,0
"BS","DE",2015-12-31,0
"BS","DK",2015-12-31,0
"BS","EE",2015-12-31,0
"BS","EL",2015-12-31,0
"BS","ES",2015-12-31,0
"BS","EU28",2015-12-31,5
"BS","FI",2015-12-31,0
"BS","FR",2015-12-31,0
"BS","HR",2015-12-31,0
"BS","HU",2015-12-31,0
"BS","IE",2015-12-31,0
"BS","IS",2015-12-31,0
"BS","IT",2015-12-31,5
"BS","LI",2015-12-31,0
"BS","LT",2015-12-31,0
"BS","LU",2015-12-31,0
"BS","LV",2015-12-31,0
"BS","MT",2015-12-31,0
"BS","NL",2015-12-31,0
"BS","NO",2015-12-31,0
"BS","PL",2015-12-31,0
"BS","PT",2015-12-31,0
"BS","RO",2015-12-31,0
"BS","SE",2015-12-31,0
"BS","SI",2015-12-31,0
"BS","SK",2015-12-31,0
"BS","TOTAL",2015-12-31,5
"BS","UK",2015-12-31,0
"BT","AT",2015-12-31,0
"BT","BE",2015-12-31,5
"BT","BG",2015-12-31,0
"BT","CH",2015-12-31,0
"BT","CY",2015-12-31,0
"BT","CZ",2015-12-31,0
"BT","DE",2015-12-31,0
"BT","DK",2015-12-31,0
"BT","EE",2015-12-31,0
"BT","EL",2015-12-31,0
"BT","ES",2015-12-31,0
"BT","EU28",2015-12-31,20
"BT","FI",2015-12-31,0
"BT","FR",2015-12-31,10
"BT","HR",2015-12-31,0
"BT","HU",2015-12-31,0
"BT","IE",2015-12-31,0
"BT","IS",2015-12-31,0
"BT","IT",2015-12-31,0
"BT","LI",2015-12-31,0
"BT","LT",2015-12-31,0
"BT","LU",2015-12-31,0
"BT","LV",2015-12-31,0
"BT","MT",2015-12-31,0
"BT","NL",2015-12-31,0
"BT","NO",2015-12-31,0
"BT","PL",2015-12-31,0
"BT","PT",2015-12-31,0
"BT","RO",2015-12-31,0
"BT","SE",2015-12-31,0
"BT","SI",2015-12-31,0
"BT","SK",2015-12-31,0
"BT","TOTAL",2015-12-31,20
"BT","UK",2015-12-31,5
"BW","AT",2015-12-31,0
"BW","BE",2015-12-31,0
"BW","BG",2015-12-31,0
"BW","CH",2015-12-31,0
"BW","CY",2015-12-31,0
"BW","CZ",2015-12-31,0
"BW","DE",2015-12-31,0
"BW","DK",2015-12-31,0
"BW","EE",2015-12-31,0
"BW","EL",2015-12-31,0
