"partner","geo","time","values"
"ES","DE",2015-12-31,2033
"ES","DK",2015-12-31,114
"ES","EE",2015-12-31,0
"ES","EL",2015-12-31,3
"ES","EU28",2015-12-31,4971
"ES","FI",2015-12-31,70
"ES","FR",2015-12-31,1007
"ES","HR",2015-12-31,1
"ES","IE",2015-12-31,1
"ES","IS",2015-12-31,3
"ES","IT",2015-12-31,86
"ES","LU",2015-12-31,38
"ES","LV",2015-12-31,0
"ES","MT",2015-12-31,10
"ES","NL",2015-12-31,211
"ES","NO",2015-12-31,96
"ES","PL",2015-12-31,5
"ES","PT",2015-12-31,15
"ES","RO",2015-12-31,0
"ES","SE",2015-12-31,267
"ES","SI",2015-12-31,0
"ES","SK",2015-12-31,0
"ES","TOTAL",2015-12-31,5519
"ES","UK",2015-12-31,25
"EU28","AT",2015-12-31,16685
"EU28","BE",2015-12-31,5790
"EU28","BG",2015-12-31,62
"EU28","CH",2015-12-31,16039
"EU28","DE",2015-12-31,42663
"EU28","DK",2015-12-31,2778
"EU28","EE",2015-12-31,24
"EU28","EL",2015-12-31,994
"EU28","EU28",2015-12-31,107291
"EU28","FI",2015-12-31,1510
"EU28","FR",2015-12-31,11177
"EU28","HR",2015-12-31,19
"EU28","IE",2015-12-31,609
"EU28","IS",2015-12-31,96
"EU28","IT",2015-12-31,4725
"EU28","LU",2015-12-31,412
"EU28","LV",2015-12-31,12
"EU28","MT",2015-12-31,96
"EU28","NL",2015-12-31,4682
"EU28","NO",2015-12-31,3389
"EU28","PL",2015-12-31,213
"EU28","PT",2015-12-31,98
"EU28","RO",2015-12-31,85
"EU28","SE",2015-12-31,10645
"EU28","SI",2015-12-31,90
"EU28","SK",2015-12-31,544
"EU28","TOTAL",2015-12-31,126815
"EU28","UK",2015-12-31,3378
"FI","AT",2015-12-31,19
"FI","BE",2015-12-31,16
"FI","BG",2015-12-31,0
"FI","CH",2015-12-31,27
"FI","DE",2015-12-31,93
"FI","DK",2015-12-31,24
"FI","EE",2015-12-31,4
"FI","EL",2015-12-31,15
"FI","EU28",2015-12-31,369
"FI","FI",2015-12-31,0
"FI","FR",2015-12-31,36
"FI","HR",2015-12-31,0
"FI","IE",2015-12-31,1
"FI","IS",2015-12-31,2
"FI","IT",2015-12-31,47
"FI","LU",2015-12-31,4
"FI","LV",2015-12-31,0
"FI","MT",2015-12-31,0
"FI","NL",2015-12-31,8
"FI","NO",2015-12-31,15
"FI","PL",2015-12-31,7
"FI","PT",2015-12-31,1
"FI","RO",2015-12-31,2
"FI","SE",2015-12-31,78
"FI","SI",2015-12-31,1
"FI","SK",2015-12-31,0
"FI","TOTAL",2015-12-31,413
"FI","UK",2015-12-31,13
"FR","AT",2015-12-31,120
"FR","BE",2015-12-31,586
"FR","BG",2015-12-31,4
"FR","CH",2015-12-31,512
"FR","DE",2015-12-31,1866
"FR","DK",2015-12-31,68
"FR","EE",2015-12-31,1
"FR","EL",2015-12-31,19
"FR","EU28",2015-12-31,3900
"FR","FI",2015-12-31,86
"FR","FR",2015-12-31,0
"FR","HR",2015-12-31,0
"FR","IE",2015-12-31,15
"FR","IS",2015-12-31,9
"FR","IT",2015-12-31,214
"FR","LU",2015-12-31,24
"FR","LV",2015-12-31,1
"FR","MT",2015-12-31,33
"FR","NL",2015-12-31,296
"FR","NO",2015-12-31,89
"FR","PL",2015-12-31,36
"FR","PT",2015-12-31,2
"FR","RO",2015-12-31,5
"FR","SE",2015-12-31,362
"FR","SI",2015-12-31,2
"FR","SK",2015-12-31,2
"FR","TOTAL",2015-12-31,4510
"FR","UK",2015-12-31,158
"HR","AT",2015-12-31,761
"HR","BE",2015-12-31,12
"HR","BG",2015-12-31,0
"HR","CH",2015-12-31,312
"HR","DE",2015-12-31,60
"HR","DK",2015-12-31,5
"HR","EE",2015-12-31,0
"HR","EL",2015-12-31,0
"HR","EU28",2015-12-31,926
"HR","FI",2015-12-31,1
"HR","FR",2015-12-31,12
"HR","HR",2015-12-31,0
"HR","IE",2015-12-31,0
"HR","IS",2015-12-31,0
"HR","IT",2015-12-31,8
"HR","LU",2015-12-31,0
"HR","LV",2015-12-31,0
"HR","MT",2015-12-31,0
"HR","NL",2015-12-31,11
"HR","NO",2015-12-31,6
"HR","PL",2015-12-31,0
"HR","PT",2015-12-31,0
"HR","RO",2015-12-31,0
"HR","SE",2015-12-31,25
"HR","SI",2015-12-31,14
"HR","SK",2015-12-31,0
"HR","TOTAL",2015-12-31,1244
"HR","UK",2015-12-31,17
"HU","AT",2015-12-31,10868
"HU","BE",2015-12-31,1172
"HU","BG",2015-12-31,0
"HU","CH",2015-12-31,1421
"HU","DE",2015-12-31,14450
"HU","DK",2015-12-31,774
"HU","EE",2015-12-31,0
"HU","EL",2015-12-31,13
"HU","EU28",2015-12-31,39400
"HU","FI",2015-12-31,220
"HU","FR",2015-12-31,3535
"HU","HR",2015-12-31,3
"HU","IE",2015-12-31,23
"HU","IS",2015-12-31,4
"HU","IT",2015-12-31,2169
"HU","LU",2015-12-31,78
"HU","LV",2015-12-31,0
"HU","MT",2015-12-31,5
"HU","NL",2015-12-31,866
"HU","NO",2015-12-31,968
"HU","PL",2015-12-31,20
"HU","PT",2015-12-31,11
"HU","RO",2015-12-31,4
"HU","SE",2015-12-31,3792
"HU","SI",2015-12-31,29
"HU","SK",2015-12-31,501
"HU","TOTAL",2015-12-31,41793
"HU","UK",2015-12-31,867
"IE","AT",2015-12-31,3
"IE","BE",2015-12-31,1
"IE","BG",2015-12-31,0
"IE","CH",2015-12-31,0
"IE","DE",2015-12-31,4
"IE","DK",2015-12-31,1
"IE","EE",2015-12-31,0
"IE","EL",2015-12-31,0
"IE","EU28",2015-12-31,145
"IE","FI",2015-12-31,1
"IE","FR",2015-12-31,0
"IE","HR",2015-12-31,0
"IE","IE",2015-12-31,0
"IE","IS",2015-12-31,0
"IE","IT",2015-12-31,2
"IE","LU",2015-12-31,1
"IE","LV",2015-12-31,0
"IE","MT",2015-12-31,0
"IE","NL",2015-12-31,6
"IE","NO",2015-12-31,1
"IE","PL",2015-12-31,0
"IE","PT",2015-12-31,0
"IE","RO",2015-12-31,0
"IE","SE",2015-12-31,3
"IE","SI",2015-12-31,0
"IE","SK",2015-12-31,0
"IE","TOTAL",2015-12-31,146
"IE","UK",2015-12-31,123
"IS","AT",2015-12-31,0
"IS","BE",2015-12-31,1
"IS","BG",2015-12-31,0
"IS","CH",2015-12-31,5
"IS","DE",2015-12-31,1
"IS","DK",2015-12-31,3
"IS","EE",2015-12-31,0
"IS","EL",2015-12-31,0
"IS","EU28",2015-12-31,10
"IS","FI",2015-12-31,0
"IS","FR",2015-12-31,2
"IS","HR",2015-12-31,0
"IS","IE",2015-12-31,0
"IS","IS",2015-12-31,0
"IS","IT",2015-12-31,0
"IS","LU",2015-12-31,0
"IS","LV",2015-12-31,0
"IS","MT",2015-12-31,0
"IS","NL",2015-12-31,1
"IS","NO",2015-12-31,0
"IS","PL",2015-12-31,0
