"partner","geo","time","values","decision"
"EU28","NL",2015-12-31,2823,"ACC"
"EU28","NO",2015-12-31,1816,"ACC"
"EU28","PL",2015-12-31,164,"ACC"
"EU28","PT",2015-12-31,92,"ACC"
"EU28","RO",2015-12-31,57,"ACC"
"EU28","SE",2015-12-31,4987,"ACC"
"EU28","SI",2015-12-31,51,"ACC"
"EU28","SK",2015-12-31,490,"ACC"
"EU28","TOTAL",2015-12-31,77287,"ACC"
"EU28","UK",2015-12-31,1971,"ACC"
"FI","AT",2015-12-31,5,"ACC"
"FI","BE",2015-12-31,7,"ACC"
"FI","BG",2015-12-31,0,"ACC"
"FI","CH",2015-12-31,19,"ACC"
"FI","DE",2015-12-31,32,"ACC"
"FI","DK",2015-12-31,24,"ACC"
"FI","EE",2015-12-31,0,"ACC"
"FI","EL",2015-12-31,12,"ACC"
"FI","EU28",2015-12-31,178,"ACC"
"FI","FI",2015-12-31,0,"ACC"
"FI","FR",2015-12-31,11,"ACC"
"FI","HR",2015-12-31,0,"ACC"
"FI","IE",2015-12-31,0,"ACC"
"FI","IS",2015-12-31,1,"ACC"
"FI","IT",2015-12-31,5,"ACC"
"FI","LI",2015-12-31,0,"ACC"
"FI","LU",2015-12-31,3,"ACC"
"FI","LV",2015-12-31,0,"ACC"
"FI","MT",2015-12-31,0,"ACC"
"FI","NL",2015-12-31,6,"ACC"
"FI","NO",2015-12-31,6,"ACC"
"FI","PL",2015-12-31,7,"ACC"
"FI","PT",2015-12-31,1,"ACC"
"FI","RO",2015-12-31,1,"ACC"
"FI","SE",2015-12-31,60,"ACC"
"FI","SI",2015-12-31,0,"ACC"
"FI","SK",2015-12-31,0,"ACC"
"FI","TOTAL",2015-12-31,204,"ACC"
"FI","UK",2015-12-31,4,"ACC"
"FR","AT",2015-12-31,82,"ACC"
"FR","BE",2015-12-31,488,"ACC"
"FR","BG",2015-12-31,1,"ACC"
"FR","CH",2015-12-31,410,"ACC"
"FR","DE",2015-12-31,1432,"ACC"
"FR","DK",2015-12-31,68,"ACC"
"FR","EE",2015-12-31,0,"ACC"
"FR","EL",2015-12-31,5,"ACC"
"FR","EU28",2015-12-31,2868,"ACC"
"FR","FI",2015-12-31,82,"ACC"
"FR","FR",2015-12-31,0,"ACC"
"FR","HR",2015-12-31,0,"ACC"
"FR","IE",2015-12-31,8,"ACC"
"FR","IS",2015-12-31,6,"ACC"
"FR","IT",2015-12-31,4,"ACC"
"FR","LI",2015-12-31,2,"ACC"
"FR","LU",2015-12-31,18,"ACC"
"FR","LV",2015-12-31,1,"ACC"
"FR","MT",2015-12-31,16,"ACC"
"FR","NL",2015-12-31,240,"ACC"
"FR","NO",2015-12-31,74,"ACC"
"FR","PL",2015-12-31,21,"ACC"
"FR","PT",2015-12-31,4,"ACC"
"FR","RO",2015-12-31,2,"ACC"
"FR","SE",2015-12-31,295,"ACC"
"FR","SI",2015-12-31,0,"ACC"
"FR","SK",2015-12-31,1,"ACC"
"FR","TOTAL",2015-12-31,3360,"ACC"
"FR","UK",2015-12-31,100,"ACC"
"HR","AT",2015-12-31,62,"ACC"
"HR","BE",2015-12-31,8,"ACC"
"HR","BG",2015-12-31,0,"ACC"
"HR","CH",2015-12-31,23,"ACC"
"HR","DE",2015-12-31,49,"ACC"
"HR","DK",2015-12-31,5,"ACC"
"HR","EE",2015-12-31,0,"ACC"
"HR","EL",2015-12-31,0,"ACC"
"HR","EU28",2015-12-31,174,"ACC"
"HR","FI",2015-12-31,0,"ACC"
"HR","FR",2015-12-31,12,"ACC"
"HR","HR",2015-12-31,0,"ACC"
"HR","IE",2015-12-31,0,"ACC"
"HR","IS",2015-12-31,0,"ACC"
"HR","IT",2015-12-31,0,"ACC"
"HR","LI",2015-12-31,0,"ACC"
"HR","LU",2015-12-31,0,"ACC"
"HR","LV",2015-12-31,0,"ACC"
"HR","MT",2015-12-31,0,"ACC"
"HR","NL",2015-12-31,4,"ACC"
"HR","NO",2015-12-31,4,"ACC"
"HR","PL",2015-12-31,0,"ACC"
"HR","PT",2015-12-31,0,"ACC"
"HR","RO",2015-12-31,0,"ACC"
"HR","SE",2015-12-31,5,"ACC"
"HR","SI",2015-12-31,13,"ACC"
"HR","SK",2015-12-31,0,"ACC"
"HR","TOTAL",2015-12-31,201,"ACC"
"HR","UK",2015-12-31,16,"ACC"
"HU","AT",2015-12-31,8374,"ACC"
"HU","BE",2015-12-31,625,"ACC"
"HU","BG",2015-12-31,0,"ACC"
"HU","CH",2015-12-31,1043,"ACC"
"HU","DE",2015-12-31,9734,"ACC"
"HU","DK",2015-12-31,774,"ACC"
"HU","EE",2015-12-31,0,"ACC"
"HU","EL",2015-12-31,0,"ACC"
"HU","EU28",2015-12-31,24423,"ACC"
"HU","FI",2015-12-31,173,"ACC"
"HU","FR",2015-12-31,2405,"ACC"
"HU","HR",2015-12-31,2,"ACC"
"HU","IE",2015-12-31,7,"ACC"
"HU","IS",2015-12-31,0,"ACC"
"HU","IT",2015-12-31,14,"ACC"
"HU","LI",2015-12-31,0,"ACC"
"HU","LU",2015-12-31,45,"ACC"
"HU","LV",2015-12-31,0,"ACC"
"HU","MT",2015-12-31,2,"ACC"
